id,name,artists,album,danceability,energy,valence,tempo,duration_ms,popularity,explicit,key,mode,time_signature,loudness,speechiness,acousticness,instrumentalness,liveness
3k0ra8nmVbni9uxg37lL4l,Try Colour,The Jezabels,Prisoner,0.386,0.941,0.344,149.992,314235,3,False,6,0,4,-4.93,0.0526,0.00123,0.0121,0.314
5BIjJP1zlOa3iY65RSkXkr,Nevada (feat. Cozi Zuehlsdorff),"Vicetone, Cozi Zuehlsdorff",Nevada (feat. Cozi Zuehlsdorff),0.605,0.783,0.105,124.015,208562,0,False,3,1,4,-4.271,0.0324,0.299,0.000175,0.133
6BnioVUjZdsTeYliZcnNW8,After Hours,We Are Scientists,Brain Thrust Mastery,0.392,0.981,0.335,160.047,232014,33,False,1,0,4,-4.564,0.0799,2.9e-05,0.0422,0.174
1VuBmEauSZywQVtqbxNqka,Beautiful Day,U2,All That You Can't Leave Behind,0.539,0.926,0.454,136.279,246400,63,False,2,1,4,-6.495,0.0499,0.014,0.00136,0.36
2slhPeSiWmjReVK719sRHq,Long Highway,The Jezabels,Prisoner,0.39,0.737,0.183,141.226,362360,0,False,8,0,4,-6.117,0.039,0.0586,0.142,0.0914
70wYA8oYHoMzhRRkARoMhU,When You Were Young,The Killers,Sam's Town,0.467,0.988,0.321,130.433,220427,75,False,11,1,4,-3.313,0.112,0.000152,0.0484,0.28
1eyzqe2QqGZUmfcPZtrIyt,Midnight City,M83,"Hurry Up, We're Dreaming",0.526,0.712,0.32,105.009,241440,69,False,11,0,4,-6.525,0.0356,0.0161,0,0.179
6svrEn54rNuEo7Ta5dJslc,Runaways,The Killers,Battle Born (Deluxe Edition),0.414,0.837,0.199,121.749,243787,0,False,1,1,4,-4.043,0.0407,0.00114,0.00693,0.0855
73jVPicY2G9YHmzgjk69ae,Robbers,The 1975,The 1975,0.62,0.692,0.387,99.806,254510,69,False,4,1,4,-6.859,0.029,0.00036,1.81e-05,0.335
0vqI4ZIMuifeKeItGiWbPj,Starlight,Taylor Swift,Red (Deluxe Edition),0.649,0.777,0.587,126.018,217827,36,False,9,1,4,-5.804,0.0406,0.0213,0.000335,0.221
2uSQI4GT3S3rdoeM4SKv80,Deep Wide Open,The Jezabels,Prisoner,0.455,0.824,0.181,107.042,284627,0,False,4,1,4,-6.495,0.0385,0.00923,0.000815,0.103
71jGGLe5VtEHjIk5dU2W3S,Red Eyes,The War On Drugs,Lost In The Dream,0.464,0.815,0.467,161.845,298920,0,False,10,1,4,-6.371,0.0368,0.00871,0.201,0.162
05g8HUhPUSTHm0vKxOPTPh,Look of Love,The Jezabels,The Brink,0.509,0.799,0.401,124.013,241187,0,False,8,1,4,-6.212,0.0431,0.00819,0.0216,0.271
45D0ixQWzXQOoU1S9aSnKk,Under The Pressure,The War On Drugs,Lost In The Dream,0.325,0.71,0.193,134.371,532307,0,False,6,1,4,-6.545,0.0295,0.307,0.172,0.132
6S0IRhCK4P0llKnIjivfGd,Seventeen,Sjowgren,Seventeen,0.609,0.728,0.322,146.016,225360,0,False,7,1,4,-5.859,0.0419,0.327,0.0851,0.0569
413CBplTN03RNZD8H34B6q,Strangest Thing,The War On Drugs,A Deeper Understanding,0.349,0.595,0.296,74.96,401013,48,False,4,1,4,-6.129,0.0345,0.0122,0.00922,0.111
